idx,class,conversation
10,일반 대화,"A: 민수 오늘 점심 메뉴 라떼 나온다는데 봤어?
B: 와 진짜? 대박이다 나 라떼 진짜 좋아하거든.
A: 그러니까 우리 퇴근하기 전에 수업 끝나자마자 운동장으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 기대되네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 퇴근하기 전에 정문 앞에서 만나!"
11,일반 대화,"A: 부장님 오늘 점심 메뉴 아메리카노 어떠신가요?
B: 오 맛있겠네요 저도 그거 먹고 싶었어요.
A: 그럼 조금 뒤에 매점 앞에서 뵙는 거로 할까요?
B: 좋지요 제가 매점 미리 예약 가능한지 알아볼게요.
A: 네 부장님 예약되면 바로 연락 부탁드립니다.
B: 네 알겠습니다 부장님도 이따 뵙겠습니다.
A: 제발 예약이 꽉 차지 않았으면 좋겠네요.
B: 제가 조금 뒤에 확인해보고 바로 말씀드릴게요."
12,일반 대화,"A: 현우 오늘 점심 메뉴 김치찜 나온다는데 봤어?
B: 와 진짜? 대박이다 나 김치찜 진짜 좋아하거든.
A: 그러니까 우리 이따가 오후에 수업 끝나자마자 공원으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 즐거울 것 같아요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 이따가 오후에 정문 앞에서 만나!"
13,일반 대화,"A: 오늘 날씨 즐거울 것 같아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 매점 가기에 완벽한 날씨네.
A: 우리 조금 뒤에 근처 매점이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 떡볶이 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 즐거울 것 같아요 그럼 내일 조금 뒤에 준비해서 가자.
B: 응 내가 떡볶이 미리 주문해 놓을게."
14,일반 대화,"A: 오늘 날씨 즐거울 것 같아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 매점 가기에 완벽한 날씨네.
A: 우리 조금 뒤에 근처 매점이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 아메리카노 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 즐거울 것 같아요 그럼 내일 조금 뒤에 준비해서 가자.
B: 응 내가 아메리카노 미리 주문해 놓을게."
15,일반 대화,"A: 오늘 날씨 조금 걱정되지만 괜찮아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 도서관 가기에 완벽한 날씨네.
A: 우리 수업 끝나고 근처 도서관이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 샌드위치 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 조금 걱정되지만 괜찮아요 그럼 내일 수업 끝나고 준비해서 가자.
B: 응 내가 샌드위치 미리 주문해 놓을게."
16,일반 대화,"A: 차장님 오늘 점심 메뉴 라떼 나온다는데 봤어?
B: 와 진짜? 대박이다 나 라떼 진짜 좋아하거든.
A: 그러니까 우리 퇴근하기 전에 수업 끝나자마자 탕비실으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 맛있겠네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 퇴근하기 전에 정문 앞에서 만나!"
17,일반 대화,"A: 오늘 날씨 맛있겠네요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 도서관 가기에 완벽한 날씨네.
A: 우리 수업 끝나고 근처 도서관이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 샌드위치 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 맛있겠네요 그럼 내일 수업 끝나고 준비해서 가자.
B: 응 내가 샌드위치 미리 주문해 놓을게."
18,일반 대화,"A: 오늘 날씨 다행이에요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 편의점 가기에 완벽한 날씨네.
A: 우리 내일 아침에 근처 편의점이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 김밥 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 다행이에요 그럼 내일 내일 아침에 준비해서 가자.
B: 응 내가 김밥 미리 주문해 놓을게."
19,일반 대화,"A: 민수 오늘 점심 메뉴 아메리카노 어떠신가요?
B: 오 다행이에요 저도 그거 먹고 싶었어요.
A: 그럼 이따가 오후에 매점 앞에서 뵙는 거로 할까요?
B: 좋지요 제가 매점 미리 예약 가능한지 알아볼게요.
A: 네 민수 예약되면 바로 연락 부탁드립니다.
B: 네 알겠습니다 민수도 이따 뵙겠습니다.
A: 제발 예약이 꽉 차지 않았으면 좋겠네요.
B: 제가 이따가 오후에 확인해보고 바로 말씀드릴게요."
20,일반 대화,"A: 부장님 오늘 점심 메뉴 파스타 나온다는데 봤어?
B: 와 진짜? 대박이다 나 파스타 진짜 좋아하거든.
A: 그러니까 우리 내일 아침에 수업 끝나자마자 탕비실으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 즐거울 것 같아요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 내일 아침에 정문 앞에서 만나!"
21,일반 대화,"A: 어서 오세요 식당입니다 주문 도와드릴까요?
B: 김밥 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 김밥은 즐거울 것 같아요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 김밥 나오는데 오래 걸리나요?
A: 아뇨 내일 아침에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
22,일반 대화,"A: 과장님 오늘 점심 메뉴 김치찜 나온다는데 봤어?
B: 와 진짜? 대박이다 나 김치찜 진짜 좋아하거든.
A: 그러니까 우리 지금 당장 수업 끝나자마자 탕비실으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 조금 걱정되지만 괜찮아요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 지금 당장 정문 앞에서 만나!"
23,일반 대화,"A: 현우 오늘 점심 메뉴 샌드위치 나온다는데 봤어?
B: 와 진짜? 대박이다 나 샌드위치 진짜 좋아하거든.
A: 그러니까 우리 조금 뒤에 수업 끝나자마자 매점으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 즐거울 것 같아요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 조금 뒤에 정문 앞에서 만나!"
24,일반 대화,"A: 팀장님 오늘 점심 메뉴 떡볶이 나온다는데 봤어?
B: 와 진짜? 대박이다 나 떡볶이 진짜 좋아하거든.
A: 그러니까 우리 퇴근하기 전에 수업 끝나자마자 공연장으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 기대되네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 퇴근하기 전에 정문 앞에서 만나!"
25,일반 대화,"A: 지혜 내일 아침에 공원에서 회의 가능한가요?
B: 네 지혜 지금 바로 준비해서 이동할게요.
A: 준비물은 제가 미리 챙겨두었으니 몸만 오셔요.
B: 알겠습니다 다행이에요 얼른 가서 뵙겠습니다.
A: 네 공원 앞에서 기다리고 있을게요.
B: 서둘러서 가겠습니다 조금만 기다려 주세요.
A: 죄송합니다 바쁘신데 갑자기 연락드려서.
B: 아니에요 제 업무인걸요 내일 아침에 뵙죠."
26,일반 대화,"A: 어서 오세요 회의실입니다 주문 도와드릴까요?
B: 김치찜 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 김치찜은 즐거울 것 같아요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 김치찜 나오는데 오래 걸리나요?
A: 아뇨 이따가 오후에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
27,일반 대화,"A: 민수 조금 뒤에 지하철역에서 회의 가능한가요?
B: 네 민수 지금 바로 준비해서 이동할게요.
A: 준비물은 제가 미리 챙겨두었으니 몸만 오셔요.
B: 알겠습니다 맛있겠네요 얼른 가서 뵙겠습니다.
A: 네 지하철역 앞에서 기다리고 있을게요.
B: 서둘러서 가겠습니다 조금만 기다려 주세요.
A: 죄송합니다 바쁘신데 갑자기 연락드려서.
B: 아니에요 제 업무인걸요 조금 뒤에 뵙죠."
28,일반 대화,"A: 오늘 날씨 조금 걱정되지만 괜찮아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 편의점 가기에 완벽한 날씨네.
A: 우리 퇴근하기 전에 근처 편의점이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 아메리카노 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 조금 걱정되지만 괜찮아요 그럼 내일 퇴근하기 전에 준비해서 가자.
B: 응 내가 아메리카노 미리 주문해 놓을게."
29,일반 대화,"A: 지혜 오늘 점심 메뉴 라떼 나온다는데 봤어?
B: 와 진짜? 대박이다 나 라떼 진짜 좋아하거든.
A: 그러니까 우리 수업 끝나고 수업 끝나자마자 운동장으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 맛있겠네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 수업 끝나고 정문 앞에서 만나!"
30,일반 대화,"A: 오늘 날씨 조금 걱정되지만 괜찮아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 회의실 가기에 완벽한 날씨네.
A: 우리 지금 당장 근처 회의실이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 김치찜 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 조금 걱정되지만 괜찮아요 그럼 내일 지금 당장 준비해서 가자.
B: 응 내가 김치찜 미리 주문해 놓을게."
31,일반 대화,"A: 어서 오세요 회의실입니다 주문 도와드릴까요?
B: 제육덮밥 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 제육덮밥은 즐거울 것 같아요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 제육덮밥 나오는데 오래 걸리나요?
A: 아뇨 이따가 오후에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
32,일반 대화,"A: 어서 오세요 식당입니다 주문 도와드릴까요?
B: 피자 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 피자은 조금 걱정되지만 괜찮아요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 피자 나오는데 오래 걸리나요?
A: 아뇨 수업 끝나고 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
33,일반 대화,"A: 민수 오늘 점심 메뉴 샌드위치 나온다는데 봤어?
B: 와 진짜? 대박이다 나 샌드위치 진짜 좋아하거든.
A: 그러니까 우리 지금 당장 수업 끝나자마자 카페으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 기대되네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 지금 당장 정문 앞에서 만나!"
34,일반 대화,"A: 어서 오세요 카페입니다 주문 도와드릴까요?
B: 아메리카노 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 아메리카노은 맛있겠네요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 아메리카노 나오는데 오래 걸리나요?
A: 아뇨 조금 뒤에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
35,일반 대화,"A: 오늘 날씨 다행이에요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 탕비실 가기에 완벽한 날씨네.
A: 우리 내일 아침에 근처 탕비실이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 김밥 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 다행이에요 그럼 내일 내일 아침에 준비해서 가자.
B: 응 내가 김밥 미리 주문해 놓을게."
36,일반 대화,"A: 영미 오늘 점심 메뉴 라떼 나온다는데 봤어?
B: 와 진짜? 대박이다 나 라떼 진짜 좋아하거든.
A: 그러니까 우리 조금 뒤에 수업 끝나자마자 지하철역으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 즐거울 것 같아요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 조금 뒤에 정문 앞에서 만나!"
37,일반 대화,"A: 지수 내일 아침에 회의실에서 회의 가능한가요?
B: 네 지수 지금 바로 준비해서 이동할게요.
A: 준비물은 제가 미리 챙겨두었으니 몸만 오셔요.
B: 알겠습니다 조금 걱정되지만 괜찮아요 얼른 가서 뵙겠습니다.
A: 네 회의실 앞에서 기다리고 있을게요.
B: 서둘러서 가겠습니다 조금만 기다려 주세요.
A: 죄송합니다 바쁘신데 갑자기 연락드려서.
B: 아니에요 제 업무인걸요 내일 아침에 뵙죠."
38,일반 대화,"A: 대리님 오늘 점심 메뉴 샌드위치 나온다는데 봤어?
B: 와 진짜? 대박이다 나 샌드위치 진짜 좋아하거든.
A: 그러니까 우리 수업 끝나고 수업 끝나자마자 회의실으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 기대되네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 수업 끝나고 정문 앞에서 만나!"
39,일반 대화,"A: 부장님 이따가 오후에 도서관에서 회의 가능한가요?
B: 네 부장님 지금 바로 준비해서 이동할게요.
A: 준비물은 제가 미리 챙겨두었으니 몸만 오셔요.
B: 알겠습니다 맛있겠네요 얼른 가서 뵙겠습니다.
A: 네 도서관 앞에서 기다리고 있을게요.
B: 서둘러서 가겠습니다 조금만 기다려 주세요.
A: 죄송합니다 바쁘신데 갑자기 연락드려서.
B: 아니에요 제 업무인걸요 이따가 오후에 뵙죠."
40,일반 대화,"A: 팀장님 오늘 점심 메뉴 떡볶이 나온다는데 봤어?
B: 와 진짜? 대박이다 나 떡볶이 진짜 좋아하거든.
A: 그러니까 우리 수업 끝나고 수업 끝나자마자 운동장으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 맛있겠네요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 수업 끝나고 정문 앞에서 만나!"
41,일반 대화,"A: 어서 오세요 편의점입니다 주문 도와드릴까요?
B: 파스타 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 파스타은 즐거울 것 같아요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 파스타 나오는데 오래 걸리나요?
A: 아뇨 퇴근하기 전에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
42,일반 대화,"A: 지혜 오늘 점심 메뉴 샌드위치 어떠신가요?
B: 오 기대되네요 저도 그거 먹고 싶었어요.
A: 그럼 수업 끝나고 식당 앞에서 뵙는 거로 할까요?
B: 좋지요 제가 식당 미리 예약 가능한지 알아볼게요.
A: 네 지혜 예약되면 바로 연락 부탁드립니다.
B: 네 알겠습니다 지혜도 이따 뵙겠습니다.
A: 제발 예약이 꽉 차지 않았으면 좋겠네요.
B: 제가 수업 끝나고 확인해보고 바로 말씀드릴게요."
43,일반 대화,"A: 오늘 날씨 기대되네요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 카페 가기에 완벽한 날씨네.
A: 우리 내일 아침에 근처 카페이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 김치찜 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 기대되네요 그럼 내일 내일 아침에 준비해서 가자.
B: 응 내가 김치찜 미리 주문해 놓을게."
44,일반 대화,"A: 민수 오늘 점심 메뉴 삼겹살 나온다는데 봤어?
B: 와 진짜? 대박이다 나 삼겹살 진짜 좋아하거든.
A: 그러니까 우리 퇴근하기 전에 수업 끝나자마자 공연장으로 튀어가자.
B: 좋아 제발 줄이 안 길었으면 좋겠네.
A: 그러게 요즘 애들 손이 너무 빨라서 걱정이야.
B: 우리가 더 빨리 가면 되지 걱정 마 조금 걱정되지만 괜찮아요.
A: 그럼 4교시 끝나자마자 정문 앞에서 봐.
B: 응 이따가 퇴근하기 전에 정문 앞에서 만나!"
45,일반 대화,"A: 어서 오세요 탕비실입니다 주문 도와드릴까요?
B: 제육덮밥 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 제육덮밥은 즐거울 것 같아요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 제육덮밥 나오는데 오래 걸리나요?
A: 아뇨 퇴근하기 전에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
46,일반 대화,"A: 현우 오늘 점심 메뉴 샌드위치 어떠신가요?
B: 오 기대되네요 저도 그거 먹고 싶었어요.
A: 그럼 내일 아침에 지하철역 앞에서 뵙는 거로 할까요?
B: 좋지요 제가 지하철역 미리 예약 가능한지 알아볼게요.
A: 네 현우 예약되면 바로 연락 부탁드립니다.
B: 네 알겠습니다 현우도 이따 뵙겠습니다.
A: 제발 예약이 꽉 차지 않았으면 좋겠네요.
B: 제가 내일 아침에 확인해보고 바로 말씀드릴게요."
47,일반 대화,"A: 대리님 수업 끝나고 탕비실에서 회의 가능한가요?
B: 네 대리님 지금 바로 준비해서 이동할게요.
A: 준비물은 제가 미리 챙겨두었으니 몸만 오셔요.
B: 알겠습니다 조금 걱정되지만 괜찮아요 얼른 가서 뵙겠습니다.
A: 네 탕비실 앞에서 기다리고 있을게요.
B: 서둘러서 가겠습니다 조금만 기다려 주세요.
A: 죄송합니다 바쁘신데 갑자기 연락드려서.
B: 아니에요 제 업무인걸요 수업 끝나고 뵙죠."
48,일반 대화,"A: 어서 오세요 공연장입니다 주문 도와드릴까요?
B: 파스타 두 잔이랑 조각 케이크 하나 주세요.
A: 네 알겠습니다 파스타은 다행이에요 따뜻한 거로 드릴까요?
B: 아뇨 시원한 아이스로 한 잔 해주시고 하나는 따뜻하게요.
A: 네 총 얼마입니다 결제는 카드로 하시나요?
B: 네 여기요 파스타 나오는데 오래 걸리나요?
A: 아뇨 퇴근하기 전에 준비해 드릴게요 잠시만 기다려 주세요.
B: 네 영수증은 버려주시고 벨 울리면 가지러 올게요."
49,일반 대화,"A: 오늘 날씨 즐거울 것 같아요 그치? 산책하기 딱 좋아.
B: 응 미세먼지도 없고 공원 가기에 완벽한 날씨네.
A: 우리 퇴근하기 전에 근처 공원이라도 잠시 다녀올까?
B: 좋아 돗자리랑 간단한 간식 삼겹살 같은 거 챙겨가자.
A: 제발 주말 내내 날씨가 이랬으면 좋겠다 그치?
B: 그러게 일기예보 보니까 당분간 계속 맑다고 하더라고.
A: 오 즐거울 것 같아요 그럼 내일 퇴근하기 전에 준비해서 가자.
B: 응 내가 삼겹살 미리 주문해 놓을게."
